mm-yyyy,mm/yyyy,yyyy-mm,mmm_yyyy,Date,Location,Covid_Vacs_Administered,Covid_Vacs_Administered (In thousands),Covid_Vacs_Administered (in millions),MMWR_week
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,LA,3451962,3451.96,3.45,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,LTC,236497,236.5,0.24,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,LTC,3683718,3683.72,3.68,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,LTC,7112537,7112.54,7.11,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,LTC,7726500,7726.5,7.73,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,LTC,7797395,7797.4,7.8,17
May-21,May-21,2021/05,May-21,5/31/2021,LTC,7847882,7847.88,7.85,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,LTC,7890649,7890.65,7.89,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,LTC,7900649,7900.65,7.9,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,MA,76211,76.21,0.08,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,MA,579181,579.18,0.58,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,MA,1735916,1735.92,1.74,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,MA,3611067,3611.07,3.61,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,MA,6174851,6174.85,6.17,17
May-21,May-21,2021/05,May-21,5/31/2021,MA,8046706,8046.71,8.05,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,MA,8836836,8836.84,8.84,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,MA,8964786,8964.79,8.96,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,MD,50312,50.31,0.05,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,MD,505454,505.45,0.51,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,MD,1325977,1325.98,1.33,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,MD,2809466,2809.47,2.81,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,MD,4805115,4805.12,4.81,17
May-21,May-21,2021/05,May-21,5/31/2021,MD,6141079,6141.08,6.14,22
Jun-21,Jun-21,2021/06,Jun-21,6/30/2021,MD,6876449,6876.45,6.88,26
Jul-21,Jul-21,2021/07,Jul-21,7/12/2021,MD,7005829,7005.83,7.01,28
Dec-20,Dec-20,2020/12,Dec-20,12/31/2020,ME,23345,23.35,0.02,53
Jan-21,Jan-21,2021/01,Jan-21,1/31/2021,ME,140353,140.35,0.14,5
Feb-21,Feb-21,2021/02,Feb-21,2/28/2021,ME,332999,333,0.33,9
Mar-21,Mar-21,2021/03,Mar-21,3/31/2021,ME,697663,697.66,0.7,13
Apr-21,Apr-21,2021/04,Apr-21,4/30/2021,ME,1183324,1183.32,1.18,17
May-21,May-21,2021/05,May-21,5/31/2021,ME,1480965,1480.97,1.48,22
